Player Name,Team,Opponent,Prop Category,Prop Line,Model_Pred,Model_Conf,Edge_Type,Consistency_CV,Active_Hit%,Tier,GAME_DATE,Match_Date,Actual Value,Result,Mapped_Prop
Jake LaRavia,LAL,IND,RA,4.5,5.07,0.536,Over,0.43,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Kevin Durant,HOU,POR,PTS,27.5,29.09,0.536,Under,0.545,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Quenton Jackson,IND,LAL,RA,3.5,4.55,0.536,Over,0.503,80.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Brandon Williams,DAL,BOS,RA,5.5,6.33,0.536,Over,0.426,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Clint Capela,HOU,POR,PTS,3.5,3.77,0.535,Under,0.908,90.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PTS
Kevin Durant,HOU,POR,PRA,37.5,39.46,0.535,Under,0.495,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Ayo Dosunmu,MIN,ORL,PTS,10.5,11.76,0.535,Over,0.387,30.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,PTS
Grant Williams,CHA,MIA,RA,4.5,5.44,0.535,Over,0.473,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Keldon Johnson,SA,LAC,PR,15.5,16.23,0.535,Under,0.592,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Alperen Sengun,HOU,POR,PR,29.0,33.31,0.534,Over,0.609,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Jamal Murray,DEN,NYK,PRA,34.5,39.84,0.532,Over,0.511,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Jrue Holiday,POR,HOU,REB,4.0,5.0,0.532,Over,0.411,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,REB
Jerami Grant,POR,HOU,AST,1.5,1.9,0.532,Over,0.58,10.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,AST
Julian Champagnie,SA,LAC,PRA,16.5,17.45,0.532,Under,0.544,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Oso Ighodaro,PHX,NOP,PRA,19.5,20.04,0.532,Under,0.523,20.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PRA
Khris Middleton,DAL,BOS,PR,14.5,15.56,0.532,Under,0.51,50.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Julius Randle,MIN,ORL,PR,25.5,26.54,0.532,Under,0.46,60.0,Pass / Too Volatile,2026-03-07,2026-03-07,None,Pending / Not Found,PR
Isaiah Jackson,LAC,SAS,PR,12.5,13.36,0.532,Under,1.112,70.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
Josh Green,CHA,MIA,RA,3.5,4.01,0.532,Over,0.474,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,RA
Cooper Flagg,DAL,BOS,PR,22.5,27.68,0.531,Over,0.475,60.0,Pass / Too Volatile,2026-03-06,2026-03-06,None,Pending / Not Found,PR
