Legs,Joint Prob,Payout,Picks
7,0.10039319183234999,40.0x,Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Victor Wembanyama Under 23.5 PTS
7,0.10004949917467798,40.0x,Cameron Johnson Under 15.5 PR | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
7,0.09990236755824465,40.0x,Andrew Wiggins Over 3.5 REB | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
7,0.09973194892338298,40.0x,Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Naz Reid Under 18.5 PR | Sandro Mamukelashvili Under 4.5 PTS
7,0.09960806293964998,40.0x,Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Victor Wembanyama Under 23.5 PTS
7,0.09952648801797,40.0x,Gui Santos Under 12.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Victor Wembanyama Under 23.5 PTS
7,0.09926705814388198,40.0x,Cameron Johnson Under 15.5 PR | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
7,0.09918576249115559,40.0x,Cameron Johnson Under 15.5 PR | Gui Santos Under 12.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
8,0.06931370450175119,80.0x,Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Naz Reid Under 18.5 PR | Sandro Mamukelashvili Under 4.5 PTS
8,0.06917090917248914,80.0x,Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Victor Wembanyama Under 23.5 PTS
8,0.06893410493135313,80.0x,Cameron Johnson Under 15.5 PR | Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
8,0.06883273124763055,80.0x,Andrew Wiggins Over 3.5 REB | Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
8,0.06877163395821001,80.0x,Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Naz Reid Under 18.5 PR | Sandro Mamukelashvili Under 4.5 PTS
8,0.06871531280821087,80.0x,Gui Santos Under 12.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Naz Reid Under 18.5 PR | Sandro Mamukelashvili Under 4.5 PTS
8,0.06862995536541883,80.0x,Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST | Victor Wembanyama Under 23.5 PTS
8,0.06839500306113468,80.0x,Cameron Johnson Under 15.5 PR | Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
8,0.06832209213405802,80.0x,Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 14.5 PTS | Luke Kornet Under 9.5 PTS | Naz Reid Under 18.5 PR | Sandro Mamukelashvili Under 4.5 PTS
8,0.06829442217428007,80.0x,Andrew Wiggins Over 3.5 REB | Gui Santos Under 12.5 PTS | Isaac Okoro Under 11.5 PTS | Keldon Johnson Under 2.5 AST | Keyonte George Under 4.5 AST | Kyle Filipowski Under 24.5 PR | Luke Kornet Under 9.5 PTS | Max Christie Under 1.5 AST
