Legs,Joint Prob,Ticket EV%,Payout,Picks
7,0.4923696000000001,18.694784000000002,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
7,0.4922892,18.691568,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
7,0.48931440000000004,18.572576,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 16.5 PTS | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
7,0.48851040000000007,18.540416000000004,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
7,0.48770640000000004,18.508256000000003,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
7,0.4871436,18.485744,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 16.5 PTS | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 5.5 PTS | Kevin Durant Under 4.5 AST | Tari Eason Under 23.5 PRA
7,0.48698280000000005,18.479312,40.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | De'Aaron Fox Under 3.5 REB | Dorian Finney-Smith Under 9.5 PRA | Kevin Durant Under 4.5 AST | Tari Eason Under 23.5 PRA
8,0.43911676,34.1293408,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
8,0.43503588,33.802870399999996,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
8,0.43475444,33.7803552,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 4.5 AST | Tari Eason Under 6.5 REB
8,0.43088464000000004,33.4707712,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
8,0.43081428,33.4651424,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 5.5 PTS | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
8,0.42981764,33.3854112,80.0x,Amen Thompson Under 29.5 PRA | Cade Cunningham Under 9.5 AST | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
8,0.42821096000000003,33.2568768,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 16.5 PTS | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 23.5 PRA
8,0.42750736,33.2005888,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 5.5 PTS | Jalen Duren Under 1.5 AST | Kevin Durant Under 4.5 AST | Tari Eason Under 9.5 RA
8,0.42699608,33.1596864,80.0x,Amen Thompson Under 29.5 PRA | Cade Cunningham Under 9.5 AST | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 9.5 PRA | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 6.5 REB
8,0.42680376000000003,33.1443008,80.0x,Alperen Sengun Under 6.5 AST | Amen Thompson Under 29.5 PRA | Clint Capela Under 4.5 REB | Daniss Jenkins Under 2.5 AST | Dorian Finney-Smith Under 5.5 PTS | Jalen Duren Under 1.5 AST | Kevin Durant Under 5.5 REB | Tari Eason Under 9.5 RA
